id_user,nama,jenis_user,fakultas,prodi,angkatan
USR00001,Mahesa Usada,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025
USR00002,Puti Najmudin,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2024
USR00003,"Baktianto Suryono, S.Pd",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2023
USR00004,Zizi Nurdiyanti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2022
USR00005,Drs. Harjo Winarno,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2021
USR00006,Ir. Tina Lestari,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2024
USR00007,Jamil Prasetya,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2021
USR00008,Melinda Uyainah,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2021
USR00009,"drg. Najib Siregar, S.Farm",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2024
USR00010,Pangeran Ardianto,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2022
USR00011,Ghani Mulyani,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2025
USR00012,"Tiara Marbun, S.I.Kom",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2020
USR00013,Fathonah Hidayat,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2021
USR00014,Sutan Reksa Natsir,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2020
USR00015,"Puji Kurniawan, S.E.I",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00016,Raihan Haryanto,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2022
USR00017,Daliono Sudiati,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2021
USR00018,Tomi Yuliarti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2023
USR00019,Luis Samosir,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2022
USR00020,Puti Almira Waluyo,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2023
USR00021,"Ajeng Iswahyudi, M.TI.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00022,Heryanto Saptono,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2024
USR00023,Endah Putra,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00024,"Puspa Hariyah, S.I.Kom",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2021
USR00025,Kasiran Marbun,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Keperawatan,2025
USR00026,"drg. Hadi Maryati, S.Pt",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2023
USR00027,"Jaga Nugroho, S.E.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2022
USR00028,Natalia Hariyah,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2024
USR00029,Hana Tarihoran,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2021
USR00030,Ir. Emas Laksmiwati,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2021
USR00031,Harjasa Mangunsong,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2022
USR00032,"Ir. Ami Simbolon, S.E.I",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2021
USR00033,Puti Oni Winarsih,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2022
USR00034,"Mutia Wibowo, M.Pd",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2023
USR00035,Omar Jailani,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2022
USR00036,Anastasia Pudjiastuti,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2021
USR00037,"R. Tina Farida, S.IP",Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2024
USR00038,"Jarwadi Natsir, S.Pt",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2020
USR00039,Silvia Pratama,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2021
USR00040,Ilyas Pratama,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2021
USR00041,Hj. Restu Nashiruddin,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2024
USR00042,"Cut Jane Najmudin, S.E.",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2020
USR00043,Koko Purnawati,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2022
USR00044,R.A. Ulya Zulkarnain,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00045,Yahya Januar,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,2020
USR00046,"Maria Simbolon, M.Farm",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2024
USR00047,Manah Sihombing,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2021
USR00048,Kadir Pudjiastuti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2021
USR00049,Dasa Marbun,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2023
USR00050,Safina Utama,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,2020
USR00051,"Hesti Permata, M.Pd",Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,2025
USR00052,Galuh Puspita,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2025
USR00053,Hasna Agustina,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2020
USR00054,Jindra Yuliarti,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Interior,2021
USR00055,Unjani Lailasari,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2025
USR00056,Caraka Wijaya,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Psikologi,2020
USR00057,Hilda Damanik,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2024
USR00058,dr. Hana Ramadan,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,2025
USR00059,Dr. Rahmi Latupono,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,2024
USR00060,Tugiman Hassanah,Mahasiswa,"Fakultas Sains, Teknologi, & Kesehatan",Teknik Industri,2020
USR00061,Ir. Maida Adriansyah,Mahasiswa,"Fakultas Sosial, Humaniora, & Seni",Administrasi Bisnis,2025
